"Location","Grade A","Grade B","Grade C","B2","Fail"
"Albania","0.14","0.20","0.34","0.26","0.07"
"Algeria","0.12","0.00","0.31","0.35","0.23"
"Andorra","0.03","0.11","0.56","0.27","0.02"
"Angola","0.00","0.00","0.50","0.00","0.50"
"Argentina","0.13","0.23","0.44","0.18","0.02"
"Armenia","0.17","0.28","0.30","0.20","0.05"
"Australia","0.12","0.18","0.45","0.22","0.03"
"Austria","0.29","0.29","0.33","0.08","0.00"
"Belgium","0.14","0.24","0.40","0.19","0.03"
"Bolivia","0.04","0.12","0.34","0.37","0.12"
"Bosnia and Herzegovina","0.14","0.28","0.41","0.15","0.01"
"Brazil","0.10","0.19","0.40","0.25","0.06"
"Bulgaria","0.20","0.26","0.37","0.15","0.02"
"Canada","0.10","0.09","0.41","0.33","0.06"
"Chile","0.09","0.17","0.36","0.29","0.08"
"China","0.06","0.17","0.39","0.34","0.05"
"Colombia","0.01","0.15","0.26","0.43","0.15"
"Costa Rica","0.10","0.17","0.43","0.20","0.11"
"Cote D'ivoire","0.07","0.09","0.24","0.44","0.17"
"Croatia","0.26","0.32","0.33","0.08","0.01"
"Cyprus","0.09","0.14","0.34","0.36","0.08"
"Czech Republic","0.24","0.30","0.36","0.09","0.01"
"Denmark","0.21","0.28","0.39","0.11","0.01"
"Ecuador","0.06","0.16","0.40","0.30","0.08"
"Egypt","0.00","0.08","0.31","0.31","0.31"
"Estonia","0.18","0.23","0.40","0.18","0.01"
"Finland","0.50","0.27","0.23","0.00","0.00"
"France","0.12","0.21","0.42","0.23","0.03"
"Georgia","0.10","0.35","0.41","0.14","0.00"
"Germany","0.22","0.26","0.36","0.14","0.02"
"Greece","0.06","0.19","0.44","0.26","0.05"
"Guadeloupe","0.11","0.44","0.33","0.11","0.00"
"Hong Kong","0.12","0.27","0.32","0.23","0.06"
"Hungary","0.24","0.29","0.36","0.11","0.01"
"India","0.16","0.12","0.19","0.23","0.29"
"Indonesia","0.22","0.12","0.41","0.19","0.06"
"Ireland","0.06","0.13","0.38","0.35","0.08"
"Italy","0.14","0.23","0.42","0.19","0.02"
"Japan","0.06","0.10","0.42","0.36","0.06"
"Kazakhstan","0.20","0.23","0.33","0.20","0.04"
"Kenya","0.19","0.29","0.38","0.14","0.00"
"Korea (Republic of )","0.23","0.17","0.49","0.09","0.03"
"Kyrgyzstan","0.14","0.14","0.43","0.14","0.14"
"Laos","0.02","0.01","0.12","0.28","0.56"
"Latvia","0.27","0.47","0.20","0.07","0.00"
"Lebanon","0.06","0.17","0.33","0.28","0.17"
"Lithuania","0.20","0.22","0.35","0.15","0.09"
"Luxembourg","0.13","0.20","0.32","0.26","0.10"
"Macedonia","0.19","0.30","0.31","0.15","0.04"
"Malaysia","0.15","0.19","0.35","0.22","0.08"
"Maldives","0.12","0.23","0.41","0.22","0.03"
"Malta","0.11","0.15","0.43","0.24","0.07"
"Mauritius","0.12","0.23","0.59","0.06","0.00"
"Mexico","0.09","0.18","0.39","0.28","0.07"
"Moldova (Republic of)","0.17","0.25","0.35","0.18","0.05"
"Montenegro","0.17","0.31","0.43","0.09","0.00"
"Morocco","0.04","0.08","0.31","0.33","0.24"
"Myanmar","0.08","0.00","0.67","0.25","0.00"
"Netherlands","0.15","0.30","0.43","0.11","0.01"
"New Caledonia","0.11","0.14","0.31","0.34","0.11"
"New Zealand","0.22","0.22","0.11","0.44","0.00"
"Norway","0.23","0.27","0.47","0.03","0.00"
"Paraguay","0.07","0.26","0.43","0.22","0.02"
"Peru","0.08","0.18","0.42","0.27","0.06"
"Philippines","0.25","0.10","0.40","0.25","0.00"
"Poland","0.25","0.30","0.34","0.10","0.01"
"Portugal","0.20","0.29","0.40","0.09","0.01"
"Reunion","0.17","0.17","0.33","0.33","0.00"
"Romania","0.27","0.29","0.34","0.10","0.01"
"Russia","0.14","0.25","0.37","0.20","0.05"
"Serbia","0.27","0.25","0.34","0.12","0.02"
"Slovak Republic","0.27","0.29","0.34","0.09","0.01"
"Slovenia","0.39","0.36","0.22","0.03","0.00"
"South Africa","0.05","0.15","0.35","0.39","0.05"
"Spain","0.08","0.18","0.49","0.23","0.02"
"Sri Lanka","0.06","0.14","0.30","0.34","0.16"
"Sweden","0.26","0.28","0.35","0.10","0.01"
"Switzerland","0.15","0.24","0.42","0.18","0.01"
"Taiwan","0.08","0.14","0.47","0.25","0.07"
"Thailand","0.10","0.15","0.35","0.38","0.03"
"Tunisia","0.08","0.14","0.45","0.27","0.06"
"Turkey","0.10","0.16","0.36","0.26","0.11"
"Ukraine","0.13","0.23","0.39","0.22","0.03"
"United Arab Emirates","0.18","0.46","0.27","0.09","0.00"
"United Kingdom","0.10","0.18","0.45","0.24","0.04"
"United States of America","0.04","0.16","0.48","0.28","0.05"
"Uruguay","0.07","0.16","0.52","0.23","0.02"
"Uzbekistan","0.00","0.29","0.48","0.16","0.07"
"Vietnam","0.45","0.14","0.36","0.05","0.00"
"","","","","",""
"","","","","",""
