Location;Grade A; Grade B;Grade C;B1;Fail
Albania;0,14;0,22;0,41;0,22;0,02
Algeria;0,04;0,04;0,32;0,44;0,16
Andorra;0,05;0,08;0,56;0,32;0,00
Angola;0,14;0,23;0,46;0,14;0,05
Argentina;0,15;0,24;0,45;0,15;0,01
Armenia;0,11;0,30;0,49;0,11;0,00
Austria;0,33;0,38;0,26;0,04;0,00
Azerbaijan;0,03;0,24;0,44;0,27;0,03
Bahrain;0,00;0,33;0,00;0,33;0,33
Belgium;0,15;0,24;0,47;0,14;0,00
Bolivia;0,05;0,28;0,46;0,18;0,03
Bosnia and Herzegovina;0,31;0,33;0,26;0,11;0,00
Brazil;0,15;0,25;0,42;0,17;0,02
Bulgaria;0,30;0,29;0,31;0,09;0,01
Cambodia;0,03;0,09;0,33;0,35;0,20
Chile;0,18;0,21;0,35;0,21;0,06
China;0,04;0,12;0,42;0,37;0,06
Colombia;0,10;0,14;0,31;0,32;0,14
Costa Rica;0,11;0,20;0,47;0,19;0,03
Cote D'ivoire;0,32;0,27;0,32;0,06;0,03
Croatia;0,50;0,29;0,19;0,02;0,00
Cyprus;0,19;0,24;0,36;0,19;0,03
Czech Republic;0,26;0,33;0,35;0,07;0,00
Dominican Republic;0,08;0,24;0,48;0,16;0,04
Ecuador;0,10;0,14;0,37;0,29;0,09
Egypt;0,02;0,11;0,47;0,34;0,06
Estonia;0,02;0,08;0,43;0,43;0,04
France;0,12;0,20;0,42;0,24;0,03
Gabon;0,09;0,13;0,38;0,38;0,02
Georgia;0,33;0,27;0,34;0,06;0,00
Germany;0,31;0,29;0,34;0,06;0,01
Greece;0,17;0,34;0,41;0,08;0,00
Guadeloupe;0,10;0,15;0,43;0,22;0,10
Hong Kong;0,23;0,33;0,38;0,07;0,00
Hungary;0,26;0,29;0,37;0,07;0,01
India;0,12;0,18;0,30;0,31;0,10
Indonesia;0,24;0,25;0,33;0,16;0,02
Iraq;0,11;0,11;0,40;0,34;0,05
Ireland;0,05;0,13;0,45;0,33;0,05
Italy;0,13;0,23;0,43;0,19;0,02
Japan;0,02;0,04;0,26;0,55;0,12
Kazakhstan;0,20;0,15;0,35;0,24;0,06
Kenya;0,10;0,40;0,43;0,07;0,00
Korea (Republic of );0,41;0,28;0,28;0,03;0,00
Laos;0,03;0,08;0,28;0,45;0,17
Latvia;0,25;0,25;0,38;0,13;0,00
Luxembourg;0,03;0,03;0,53;0,30;10,10
Macau;0,01;0,13;0,44;0,39;0,03
Macedonia;0,51;0,29;0,16;0,04;0,00
Malaysia;0,18;0,24;0,40;0,18;0,01
Maldives;0,05;0,35;0,45;0,15;0,00
Mauritius;0,22;0,28;0,41;0,09;0,00
Mexico;0,11;0,20;0,42;0,24;0,04
Moldova (Republic of);0,17;0,23;0,43;0,17;0,00
Montenegro;0,17;0,42;0,17;0,25;0,00
Morocco;0,09;0,19;0,35;0,30;0,07
Mozambique;0,25;0,17;0,33;0,25;0,00
Myanmar;0,06;0,39;0,44;0,11;0,00
Netherlands;0,21;0,34;0,39;0,07;0,00
Oman;0,00;0,67;0,33;0,00;0,00
Pakistan;0,11;0,16;0,35;0,30;0,08
Paraguay;0,15;0,32;0,45;0,07;0,02
Peru;0,16;0,23;0,41;0,19;0,02
Poland;0,26;0,32;0,33;0,08;0,01
Portugal;0,27;0,35;0,32;0,06;0,00
Qatar;0,13;0,25;0,50;0,13;0,00
Reunion;0,07;0,20;0,40;0,27;0,07
Romania;0,30;0,31;0,32;0,07;0,00
Russia;0,25;0,35;0,30;0,10;0,00
Saudi Arabia;0,16;0,21;0,28;0,20;0,15
Serbia;0,37;0,30;0,26;0,07;0,00
Slovak Republic;0,23;0,35;0,38;0,05;0,00
Slovenia;0,50;0,50;0,00;0,00;0,00
South Africa;0,27;0,21;0,47;0,06;0,00
Spain;0,07;0,18;0,52;0,23;0,01
Sri Lanka;0,11;0,23;0,39;0,23;0,04
Sweden;0,25;0,37;0,37;0,02;0,00
Switzerland;0,16;0,27;0,45;0,13;0,00
Taiwan;0,03;0,08;0,38;0,47;0,04
Thailand;0,08;0,14;0,40;0,30;0,08
Tunisia;0,08;0,22;0,46;0,23;0,01
Turkey;0,11;0,17;0,30;0,31;0,11
Uganda;0,00;1,00;0,00;0,00;0,00
United Arab Emirates;0,41;0,24;0,33;0,02;0,00
United Kingdom;0,12;0,24;0,42;0,21;0,01
Uruguay;0,10;0,20;0,47;0,22;0,01
Vietnam;0,10;0,16;0,36;0,33;0,06
;;;;;
;;;;;
