Location;Grade A;Grade B;Grade C;B1;Fail
Albania;0,16;0,24;0,40;0,17;0,03
Algeria;0,00;0,22;0,44;0,28;0,06
Andorra;0,00;0,14;0,60;0,22;0,05
Angola;1,00;0,00;0,00;0,00;0,00
Argentina;0,15;0,26;0,44;0,14;0,01
Armenia;0,14;0,22;0,42;0,16;0,07
Australia;0,03;0,13;0,48;0,35;0,02
Austria;0,35;0,30;0,30;0,05;0,00
Bangladesh;0,11;0,22;0,46;0,22;0,00
Belarus;0,24;0,36;0,27;0,12;0,00
Belgium;0,13;0,39;0,23;0,26;0,00
Bolivia;0,03;0,15;0,45;0,33;0,05
Bosnia and Herzegovina;0,25;0,34;0,32;0,07;0,02
Brazil;0,08;0,16;0,37;0,33;0,06
Bulgaria;0,25;0,30;0,37;0,09;0,00
Cameroon;0,07;0,07;0,37;0,47;0,03
Canada;0,08;0,06;0,59;0,20;0,06
Chile;0,16;0,18;0,43;0,19;0,05
China;0,00;0,24;0,38;0,19;0,19
Colombia;0,10;0,13;0,37;0,28;0,12
Costa Rica;0,04;0,30;0,41;0,22;0,04
Cote D'ivoire;0,00;0,04;0,21;0,47;0,28
Croatia;0,36;0,35;0,28;0,02;0,00
Cuba;0,36;0,43;0,21;0,00;0,00
Czech Republic;0,23;0,32;0,38;0,08;0,01
Denmark;0,31;0,29;0,33;0,07;0,01
Ecuador;0,07;0,15;0,39;0,34;0,06
Egypt;0,00;0,17;0,67;0,17;0,00
Estonia;0,05;0,10;0,50;0,33;0,03
France;0,08;0,17;0,45;0,27;0,03
Georgia;0,19;0,28;0,39;0,13;0,01
Germany;0,28;0,27;0,32;0,12;0,01
Hungary;0,16;0,28;0,38;0,18;0,01
India;0,12;0,11;0,25;0,31;0,21
Indonesia;0,06;0,16;0,47;0,30;0,02
Ireland;0,03;0,08;0,43;0,39;0,07
Italy;0,13;0,24;0,46;0,17;0,01
Japan;0,01;0,05;0,31;0,55;0,09
Kazakhstan;0,09;0,16;0,41;0,30;0,04
Korea (Republic of );0,07;0,13;0,40;0,40;0,00
Kyrgyzstan;0,00;0,08;0,21;0,38;0,33
Latvia;0,15;0,31;0,23;0,31;0,00
Lebanon;0,00;0,25;0,75;0,00;0,00
Libya;0,07;0,12;0,32;0,42;0,07
Luxembourg;0,18;0,32;0,37;0,14;0,00
Macedonia;0,31;0,39;0,23;0,08;0,00
Malaysia;0,19;0,23;0,36;0,19;0,03
Maldives;0,07;0,37;0,39;0,15;0,02
Malta;0,03;0,11;0,54;0,31;0,00
Mexico;0,09;0,16;0,38;0,29;0,08
Moldova (Republic of);0,17;0,21;0,43;0,18;0,01
Montenegro;0,21;0,30;0,41;0,09;0,00
Morocco;0,08;0,18;0,38;0,28;0,08
Mozambique;0,07;0,15;0,30;0,44;0,04
Myanmar;0,27;0,30;0,38;0,06;0,00
Netherlands;0,18;0,36;0,39;0,06;0,00
New Caledonia;0,04;0,00;0,30;0,61;0,04
New Zealand;0,00;0,05;0,46;0,46;0,05
Norway;0,42;0,26;0,21;0,11;0,00
Paraguay;0,09;0,14;0,55;0,18;0,05
Peru;0,09;0,18;0,44;0,26;0,03
Poland;0,22;0,29;0,34;0,13;0,03
Portugal;0,21;0,32;0,39;0,08;0,00
Romania;0,24;0,30;0,37;0,09;0,00
Russia;0,15;0,19;0,44;0,20;0,03
Serbia;0,33;0,28;0,32;0,06;0,00
Slovak Republic;0,19;0,32;0,35;0,11;0,02
Slovenia;0,46;0,23;0,27;0,05;0,00
South Africa;0,17;0,17;0,41;0,24;0,00
Spain;0,05;0,16;0,53;0,25;0,01
Sri Lanka;0,10;0,15;0,40;0,31;0,05
Sweden;0,06;0,29;0,49;0,15;0,02
Switzerland;0,12;0,25;0,47;0,15;0,01
Taiwan;0,03;0,11;0,52;0,29;0,06
Thailand;0,00;0,24;0,53;0,24;0,00
Tunisia;0,15;0,25;0,35;0,19;0,06
Turkey;0,12;0,11;0,39;0,25;0,13
Ukraine;0,14;0,24;0,40;0,21;0,01
United Kingdom;0,06;0,14;0,47;0,29;0,03
United States of America;0,02;0,07;0,55;0,36;0,01
Uruguay;0,09;0,17;0,46;0,26;0,02
Uzbekistan;0,00;0,00;0,86;0,14;0,00
Vietnam;0,04;0,15;0,40;0,38;0,03
;;;;;
;;;;;
