Location;Grade A;Grade B;Grade C;A1;Fail
Albania;0,20;0,20;0,40;0,20;0,00
Algeria;0,27;0,22;0,32;0,18;0,01
Andorra;0,15;0,48;0,33;0,05;0,00
Angola;0,08;0,50;0,31;0,04;0,08
Argentina;0,32;0,28;0,31;0,09;0,01
Armenia;0,55;0,23;0,23;0,00;0,00
Australia;0,00;0,40;0,60;0,00;0,00
Austria;0,53;0,29;0,17;0,01;0,00
Azerbaijan;0,41;0,36;0,22;0,01;0,01
Bahrain;0,19;0,15;0,42;0,23;0,00
Bangladesh;0,43;0,43;0,14;0,00;0,00
Belarus;0,44;0,56;0,00;0,00;0,00
Belgium;0,60;0,34;0,06;0,00;0,00
Bosnia and Herzegovina;0,59;0,26;0,09;0,07;0,00
Brazil;0,30;0,22;0,26;0,15;0,07
Bulgaria;0,68;0,21;0,08;0,02;0,01
Cambodia;0,19;0,24;0,37;0,18;0,02
Chile;0,24;0,21;0,25;0,20;0,10
China;0,11;0,24;0,45;0,19;0,02
Colombia;0,21;0,21;0,27;0,20;0,11
Costa Rica;0,44;0,30;0,21;0,04;0,02
Cote D'ivoire;0,06;0,17;0,32;0,33;0,12
Croatia;0,98;0,02;0,00;0,00;0,00
Cyprus;0,53;0,25;0,16;0,06;0,01
Czech Republic;0,57;0,24;0,16;0,03;0,00
Dominican Republic;0,20;0,14;0,32;0,26;0,08
Ecuador;0,17;0,18;0,25;0,19;0,21
Egypt;0,34;0,30;0,28;0,08;0,01
Estonia;0,33;0,33;0,33;0,00;0,00
France;0,26;0,24;0,32;0,16;0,02
Georgia;0,56;0,27;0,11;0,04;0,01
Germany;0,47;0,26;0,22;0,04;0,00
Greece;0,49;0,27;0,19;0,04;0,00
Guadeloupe;0,19;0,23;0,42;0,13;0,03
Hong Kong;0,47;0,31;0,20;0,03;0,00
Hungary;0,65;0,23;0,08;0,04;0,00
India;0,30;0,28;0,29;0,11;0,02
Indonesia;0,33;0,24;0,24;0,15;0,04
Iraq;0,51;18,00;%   13,1%;0,13;0,05
Ireland;0,29;0,35;0,16;0,12;0,08
Italy;0,30;0,27;0,32;0,11;0,01
Japan;0,05;0,11;0,38;0,36;0,10
Kazakhstan;0,25;0,29;0,30;0,15;0,02
Kenya;0,62;0,28;0,10;0,00;0,00
Korea (Republic of );0,23;0,25;0,36;0,13;0,03
Kyrgyzstan;0,14;0,29;0,29;0,29;0,00
Laos;0,18;0,17;0,32;0,23;0,10
Latvia;0,00;0,00;1,00;0,00;0,00
Lebanon;0,67;0,21;0,10;0,02;0,00
Libya;0,00;0,15;0,24;0,44;0,18
Luxembourg;0,61;0,17;0,22;0,00;0,00
Macau;0,09;0,25;0,49;0,16;0,01
Malaysia;0,56;0,23;0,17;0,03;0,01
Maldives;0,59;0,30;0,09;0,02;0,00
Mexico;0,16;0,23;0,33;0,19;0,09
Moldova (Republic of);0,40;0,36;0,20;0,03;0,01
Montenegro;0,50;0,25;0,25;0,00;0,00
Morocco;0,28;0,30;0,29;0,12;0,02
Myanmar;0,61;0,26;0,11;0,02;0,00
Nepal;0,47;0,37;0,16;0,00;0,00
Netherlands;0,54;0,30;0,14;0,03;0,00
Nigeria;0,62;0,33;0,05;0,00;0,00
Pakistan;0,23;0,26;0,31;0,17;0,03
Paraguay;0,33;0,25;0,35;0,05;0,02
Peru;0,28;0,27;0,30;0,13;0,03
Poland;0,53;0,28;0,16;0,02;0,01
Portugal;0,62;0,24;0,12;0,03;0,00
Qatar;0,53;0,31;0,06;0,06;0,03
Reunion;0,05;0,14;0,05;0,43;0,33
Romania;0,73;0,19;0,07;0,01;0,00
Russia;0,29;0,32;0,29;0,10;0,00
Saudi Arabia;0,02;0,26;0,37;0,28;0,07
Serbia;0,80;0,14;0,04;0,02;0,00
Singapore;0,16;0,23;0,32;0,18;0,10
Slovak Republic;0,64;0,24;0,12;0,00;0,00
Slovenia;0,82;0,09;0,05;0,05;0,00
South Africa;0,57;0,21;0,14;0,00;0,07
Spain;0,19;0,27;0,35;0,16;0,03
Sri Lanka;0,40;0,27;0,26;0,07;0,01
Switzerland;0,44;0,26;0,23;0,06;0,00
Taiwan;0,18;0,29;0,40;0,11;0,01
Thailand;0,32;0,22;0,28;0,13;0,04
Tunisia;0,29;0,25;0,32;0,14;0,01
Turkey;0,28;0,24;0,29;0,16;0,03
Uganda;0,54;0,39;0,08;0,00;0,00
Ukraine;0,21;0,23;0,33;0,18;0,04
United Arab Emirates;0,48;0,35;0,15;0,00;0,03
United Kingdom;0,24;0,35;0,28;0,11;0,02
Uruguay;0,28;0,31;0,31;0,08;0,01
Vietnam;0,21;0,27;0,36;0,14;0,02
;;;;;
;;;;;
