Location;Grade A;Grade B;Grade C;A2;Fail
Albania;0,40;0,28;0,24;0,06;0,02
Algeria;0,30;0,20;0,30;0,10;0,10
Argentina;0,18;0,27;0,38;0,17;0,00
Armenia;0,00;0,50;0,50;0,00;0,00
Australia;0,10;0,36;0,32;0,23;0,00
Austria;0,56;0,22;0,20;0,02;0,00
Bangladesh;0,28;0,33;0,35;0,04;0,00
Belgium;1,00;0,00;0,00;0,00;0,00
Brazil;0,23;0,22;0,36;0,18;0,01
Bulgaria;0,31;0,31;0,38;0,00;0,00
Cameroon;0,20;0,52;0,24;0,04;0,00
Chile;0,42;0,25;0,24;0,09;0,01
China;0,00;0,13;0,53;0,34;0,00
Colombia;0,10;0,08;0,26;0,47;0,09
Costa Rica;0,00;0,25;0,75;0,00;0,00
Cote D'ivoire;0,03;0,02;0,19;0,60;0,15
Croatia;0,67;0,18;0,16;0,00;0,00
Czech Republic;0,30;0,31;0,30;0,09;0,00
Denmark;0,15;0,27;0,41;0,15;0,03
Ecuador;0,19;0,19;0,36;0,23;0,03
Egypt;0,00;0,00;1,00;0,00;0,00
France;0,15;0,17;0,41;0,26;0,01
Georgia;0,36;0,23;0,35;0,07;0,00
Germany;0,45;0,25;0,24;0,06;0,00
India;0,03;0,07;0,42;0,46;0,02
Indonesia;0,08;0,17;0,52;0,23;0,01
Ireland;0,04;0,12;0,46;0,34;0,05
Italy;0,22;0,24;0,41;0,13;0,01
Japan;0,04;0,09;0,52;0,35;0,00
Kazakhstan;0,40;0,00;0,30;0,20;0,10
Libya;0,04;0,07;0,39;0,49;0,02
Luxembourg;0,44;0,22;0,16;0,13;0,06
Malaysia;0,25;0,35;0,29;0,11;0,00
Maldives;0,42;0,32;0,25;0,01;0,00
Malta;0,17;0,17;0,33;0,33;0,00
Mexico;0,12;0,21;0,43;0,24;0,01
Moldova (Republic of;)   33,3%;0,38;0,25;0,04;0,00
Montenegro;0,29;0,43;0,29;0,00;0,00
Morocco;0,14;0,22;0,44;0,19;0,00
Myanmar;0,00;0,00;1,00;0,00;0,00
Netherlands;0,32;0,37;0,26;0,03;0,01
New Caledonia;0,07;0,00;0,53;0,33;0,07
New Zealand;0,07;0,07;0,64;0,21;0,00
Paraguay;0,00;0,60;0,20;0,20;0,00
Peru;0,15;0,16;0,44;0,23;0,01
Poland;0,19;0,24;0,39;0,16;0,02
Portugal;0,35;0,36;0,26;0,03;0,00
Romania;0,71;0,18;0,11;0,01;0,00
Russia;0,20;0,16;0,49;0,15;0,00
Saudi Arabia;0,01;0,02;0,15;0,51;0,32
Serbia;0,58;0,16;0,24;0,03;0,00
Slovenia;0,00;1,00;0,00;0,00;0,00
Spain;0,10;0,20;0,52;0,18;0,00
Sri Lanka;0,19;0,19;0,45;0,16;0,01
Switzerland;0,27;0,29;0,36;0,09;0,00
Thailand;0,00;0,25;0,50;0,00;0,25
Turkey;0,38;0,38;0,13;0,13;0,00
Ukraine;0,17;0,33;0,33;0,17;0,00
United Arab Emirates;0,13;0,19;0,46;0,21;0,01
United Kingdom;0,16;0,14;0,41;0,29;0,01
Uruguay;0,17;0,24;0,41;0,17;0,00
Vietnam;0,10;0,20;0,46;0,23;0,01
;;;;;
